Similarity,Accumulative proportion
0.230966,0.001343478
0.231233,0.001347826
0.231484,0.001352174
0.231608,0.001356522
0.233556,0.00136087
0.235293,0.001365217
0.235587,0.001369565
0.235618,0.001373913
0.235624,0.001378261
0.235835,0.001382609
0.237759,0.001386957
0.238141,0.001391304
0.239051,0.001395652
0.239085,0.0014
0.239279,0.001404348
0.239751,0.001408696
0.240765,0.001413043
0.241033,0.001417391
0.241256,0.001421739
0.241469,0.001426087
0.241636,0.001430435
0.243064,0.001434783
0.245148,0.00143913
0.245742,0.001443478
0.247113,0.001447826
0.248182,0.001452174
0.248339,0.001456522
0.25001,0.00146087
0.25056,0.001465217
0.250676,0.001469565
0.250733,0.001473913
0.250737,0.001478261
0.253172,0.001482609
0.253247,0.001486957
0.25414,0.001491304
0.254469,0.001495652
0.256301,0.0015
0.256357,0.001504348
0.256861,0.001508696
0.257085,0.001513043
0.257213,0.001517391
0.258688,0.001521739
0.260068,0.001526087
0.261315,0.001530435
0.261347,0.001534783
0.261744,0.00153913
0.262817,0.001543478
0.263776,0.001547826
0.264129,0.001552174
0.264435,0.001556522
0.265562,0.00156087
0.265594,0.001565217
0.267172,0.001569565
0.267625,0.001573913
0.268815,0.001578261
0.269482,0.001582609
0.270152,0.001586957
0.270511,0.001591304
0.271966,0.001595652
0.272884,0.0016
0.272983,0.001604348
0.274207,0.001608696
0.274356,0.001613043
0.2744,0.001617391
0.274563,0.001621739
0.274574,0.001626087
0.274609,0.001630435
0.27475,0.001634783
0.275221,0.00163913
0.275855,0.001643478
0.276301,0.001647826
0.276901,0.001652174
0.276966,0.001656522
0.277397,0.00166087
0.278968,0.001665217
0.279212,0.001669565
0.281198,0.001673913
0.282002,0.001678261
0.282388,0.001682609
0.282737,0.001686957
0.283724,0.001691304
0.283742,0.001695652
0.283787,0.0017
0.28407,0.001704348
0.284235,0.001708696
0.285421,0.001713043
0.286032,0.001717391
0.286714,0.001721739
0.287484,0.001726087
0.287494,0.001730435
0.287642,0.001734783
0.287964,0.00173913
0.288615,0.001743478
0.288822,0.001747826
0.291166,0.001752174
0.29187,0.001756522
0.292144,0.00176087
0.292599,0.001765217
0.293507,0.001769565
0.29385,0.001773913
0.293938,0.001778261
0.293988,0.001782609
0.294118,0.001786957
0.29465,0.001791304
0.294892,0.001795652
0.295158,0.0018
0.29537,0.001804348
0.296206,0.001808696
0.296392,0.001813043
0.296482,0.001817391
0.296504,0.001821739
0.297464,0.001826087
0.297801,0.001830435
0.299695,0.001834783
0.30017,0.00183913
0.30022,0.001843478
0.300685,0.001847826
0.300771,0.001852174
0.301014,0.001856522
0.301433,0.00186087
0.301516,0.001865217
0.301579,0.001869565
0.301758,0.001873913
0.302093,0.001878261
0.302601,0.001882609
0.302696,0.001886957
0.302746,0.001891304
0.303592,0.001895652
0.303855,0.0019
0.304301,0.001904348
0.304324,0.001908696
0.305149,0.001913043
0.305303,0.001917391
0.305456,0.001921739
0.30585,0.001926087
0.3061,0.001930435
0.307022,0.001934783
0.307196,0.00193913
0.307302,0.001943478
0.307812,0.001947826
0.308404,0.001952174
0.308668,0.001956522
0.308708,0.00196087
0.308737,0.001965217
0.309593,0.001969565
0.309925,0.001973913
0.310139,0.001978261
0.310237,0.001982609
0.310551,0.001986957
0.310628,0.001991304
0.310998,0.001995652
0.311274,0.002
0.311485,0.002004348
0.312017,0.002008696
0.312295,0.002013043
0.312393,0.002017391
0.312425,0.002021739
0.312641,0.002026087
0.312852,0.002030435
0.313352,0.002034783
0.313474,0.00203913
0.313587,0.002043478
0.313617,0.002047826
0.313644,0.002052174
0.313646,0.002056522
0.313704,0.00206087
0.313921,0.002065217
0.313961,0.002069565
0.314816,0.002073913
0.315236,0.002078261
0.315522,0.002082609
0.315633,0.002086957
0.315635,0.002091304
0.316027,0.002095652
0.316511,0.0021
0.316696,0.002104348
0.316957,0.002108696
0.317219,0.002113043
0.317635,0.002117391
0.317711,0.002121739
0.317773,0.002126087
0.318483,0.002130435
0.318581,0.002134783
0.318732,0.00213913
0.319138,0.002143478
0.319481,0.002147826
0.319815,0.002152174
0.32002,0.002156522
0.320116,0.00216087
0.320179,0.002165217
0.320313,0.002169565
0.320369,0.002173913
0.320399,0.002178261
0.320774,0.002182609
0.321185,0.002186957
0.321195,0.002191304
0.321648,0.002195652
0.32166,0.0022
0.321737,0.002204348
0.321965,0.002208696
0.322113,0.002213043
0.323398,0.002217391
0.323513,0.002221739
0.324086,0.002226087
0.324091,0.002230435
0.324197,0.002234783
0.32433,0.00223913
0.324365,0.002243478
0.324566,0.002247826
0.32469,0.002252174
0.325131,0.002256522
0.325475,0.00226087
0.325847,0.002265217
0.325943,0.002269565
0.326295,0.002273913
0.326703,0.002278261
0.327296,0.002282609
0.327308,0.002286957
0.327645,0.002291304
0.327856,0.002295652
0.327889,0.0023
0.328208,0.002304348
0.328824,0.002308696
0.329029,0.002313043
0.329054,0.002317391
0.32936,0.002321739
0.329404,0.002326087
0.329953,0.002330435
0.330079,0.002334783
0.330614,0.00233913
0.330711,0.002343478
0.330749,0.002347826
0.330938,0.002352174
0.331342,0.002356522
0.331567,0.00236087
0.331594,0.002365217
0.331778,0.002369565
0.331849,0.002373913
0.331907,0.002378261
0.331955,0.002382609
0.332137,0.002386957
0.332267,0.002391304
0.332344,0.002395652
0.332818,0.0024
0.332909,0.002404348
0.33308,0.002408696
0.333183,0.002413043
0.333497,0.002417391
0.333515,0.002421739
0.334379,0.002426087
0.334635,0.002430435
0.334646,0.002434783
0.33465,0.00243913
0.334879,0.002443478
0.334959,0.002447826
0.335029,0.002452174
0.335153,0.002456522
0.335156,0.00246087
0.335402,0.002465217
0.335663,0.002469565
0.335739,0.002473913
0.335912,0.002478261
0.336241,0.002482609
0.336394,0.002486957
0.336801,0.002491304
0.336943,0.002495652
0.337162,0.0025
0.337181,0.002504348
0.337639,0.002508696
0.337642,0.002513043
0.337677,0.002517391
0.337807,0.002521739
0.337851,0.002526087
0.338129,0.002530435
0.338132,0.002534783
0.338419,0.00253913
0.338831,0.002543478
0.33917,0.002547826
0.339193,0.002552174
0.339546,0.002556522
0.340044,0.00256087
0.340254,0.002565217
0.34071,0.002569565
0.3409,0.002573913
0.341003,0.002578261
0.341179,0.002582609
0.341355,0.002586957
0.341955,0.002591304
0.342041,0.002595652
0.342472,0.0026
0.342566,0.002604348
0.34309,0.002608696
0.343329,0.002613043
0.34363,0.002617391
0.343751,0.002621739
0.343875,0.002626087
0.343937,0.002630435
0.344028,0.002634783
0.344062,0.00263913
0.344097,0.002643478
0.344219,0.002647826
0.344247,0.002652174
0.344287,0.002656522
0.344324,0.00266087
0.344477,0.002665217
0.344496,0.002669565
0.34476,0.002673913
0.345059,0.002678261
0.345073,0.002682609
0.345776,0.002686957
0.34602,0.002691304
0.346094,0.002695652
0.346181,0.0027
0.346259,0.002704348
0.346356,0.002708696
0.346514,0.002713043
0.346534,0.002717391
0.346686,0.002721739
0.34687,0.002726087
0.346917,0.002730435
0.347192,0.002734783
0.347222,0.00273913
0.347442,0.002743478
0.347545,0.002747826
0.348311,0.002752174
0.348649,0.002756522
0.349162,0.00276087
0.349218,0.002765217
0.349253,0.002769565
0.349269,0.002773913
0.349459,0.002778261
0.349558,0.002782609
0.349687,0.002786957
0.34974,0.002791304
0.349754,0.002795652
0.349755,0.0028
0.349775,0.002804348
0.350519,0.002808696
0.350738,0.002813043
0.350775,0.002817391
0.35079,0.002821739
0.350843,0.002826087
0.350846,0.002830435
0.351299,0.002834783
0.353052,0.00283913
0.353217,0.002843478
0.353229,0.002847826
0.353249,0.002852174
0.35332,0.002856522
