,PC1,PC2,Type
S_SRR5514495,-0.251333866,-0.238492324,add_Mammal_animal
S_SRR5511130,-0.249432049,-0.247329387,add_Mammal_animal
S_SRR5511133,-0.238307763,-0.242101632,add_Mammal_animal
S_SRR5514489,-0.258331232,-0.227476081,add_Mammal_animal
S_SRR5511139,-0.224308496,-0.270823307,add_Mammal_animal
S_10422.13.F.5,-0.263447063,-0.249323384,add_Mammal_animal
S_11349.sample3487,-0.196839964,-0.315738485,add_Mammal_animal
S_11349.sample3329,-0.217471601,-0.303830398,add_Mammal_animal
S_11349.sample3353,-0.170493626,-0.338113508,add_Mammal_animal
S_11349.sample3401,-0.217326703,-0.300660432,add_Mammal_animal
S_11349.sample3414,-0.158323589,-0.286895712,add_Mammal_animal
S_11349.sample3519,-0.147592586,-0.293553793,add_Mammal_animal
S_11349.sample3101,-0.130407395,-0.350724218,add_Mammal_animal
S_1683.56.CA.Stool,-0.165327436,0.21312981,add_Mammal_animal
S_ERR969172,-0.1545285,-0.406716409,add_Mammal_animal
S_ERR964968,-0.153796975,-0.397872064,add_Mammal_animal
S_ERR969112,-0.152619887,-0.398207177,add_Mammal_animal
S_ERR969185,-0.156936016,-0.411579093,add_Mammal_animal
S_ERR969157,-0.146668093,-0.408361433,add_Mammal_animal
S_ERR969126,-0.159960791,-0.409818962,add_Mammal_animal
S_456.PM2x12808,-0.298223663,0.072988149,add_Mammal_animal
S_456.PM2x21808r,-0.285637762,0.087313423,add_Mammal_animal
S_456.PM7xCx30308,-0.273026697,0.09153229,add_Mammal_animal
S_456.PM2xCLx30308,-0.281495577,0.072582894,add_Mammal_animal
S_456.PM2x22508,-0.275583235,0.095193706,add_Mammal_animal
S_456.PM2x30308,-0.290493425,0.07830392,add_Mammal_animal
S_456.PM7xCLx30308,-0.266424196,0.093812975,add_Mammal_animal
S_456.PM3x22508,-0.277468018,0.095879267,add_Mammal_animal
S_456.PM3x11408,-0.301661225,0.063392871,add_Mammal_animal
S_833.Sweden.IBD.064A,-0.266987925,0.119965563,add_Mammal_animal
S_1564.2078E,-0.22246405,0.180894515,add_Mammal_animal
S_ERR179615,-0.038057564,0.148153203,add_Mammal_animal
S_ERR179646,-0.065335336,0.15705657,add_Mammal_animal
S_11349.sample3169,-0.324600251,-0.187374072,add_Mammal_animal
S_ERR179570,0.00747866,0.110358351,add_Mammal_animal
S_456.PM11x21108,-0.299174964,0.077556516,add_Mammal_animal
S_455.PM26x21209,-0.29701856,0.072091125,add_Mammal_animal
S_ERR488363,-0.318895849,0.043529495,add_Mammal_animal
S_ERR488313,-0.322161495,0.081089037,add_Mammal_animal
S_ERR488310,-0.325785766,0.046229111,add_Mammal_animal
S_ERR179148,-0.306611354,-0.095423545,add_Mammal_animal
S_10483.recip.319.WT.HC1.D49,-0.300532409,-0.164094515,add_Mammal_animal
S_ERR179098,-0.322885441,-0.136214928,add_Mammal_animal
S_ERR178965,-0.301645535,-0.067663394,add_Mammal_animal
S_SRR6159164,-0.311713672,-0.161957488,add_Mammal_animal
S_11349.sample0216,-0.280901782,-0.108469228,add_Mammal_animal
S_ERR179061,-0.303735702,-0.138331262,add_Mammal_animal
S_ERR179361,-0.3066567,-0.083420425,add_Mammal_animal
S_455.PM25x21209,-0.338022457,-0.067688439,add_Mammal_animal
S_455.PM30x21909,-0.331577333,0.007127136,add_Mammal_animal
S_456.PM7x21808,-0.318477717,-0.004613098,add_Mammal_animal
S_457.SPM1x031108,-0.311649991,0.03696009,add_Mammal_animal
S_ERR488312,-0.321973163,-0.010227165,add_Mammal_animal
S_ERR488385,-0.332874741,-0.0082599,add_Mammal_animal
S_ERR488307,-0.314697891,0.0098914,add_Mammal_animal
S_ERR488198,-0.342695906,-0.003979428,add_Mammal_animal
S_11349.sample3218,-0.266522004,-0.394618432,add_Mammal_animal
S_ERR965011,-0.189790665,-0.457320779,add_Mammal_animal
S_ERR969180,-0.188683826,-0.455259288,add_Mammal_animal
S_ERR969160,-0.177317217,-0.457732432,add_Mammal_animal
S_ERR965002,-0.177637638,-0.457350244,add_Mammal_animal
S_ERR969166,-0.186070118,-0.459592326,add_Mammal_animal
S_ERR965004,-0.190480333,-0.460904934,add_Mammal_animal
S_ERR969182,-0.202956944,-0.445764366,add_Mammal_animal
S_ERR969174,-0.173419831,-0.453980605,add_Mammal_animal
S_ERR488207,-0.330561359,-0.100522899,add_Mammal_animal
S_ERR965924,-0.266303295,0.060829275,add_Mammal_animal
S_11349.sample0217,-0.2831112,0.062326503,add_Mammal_animal
S_10171.Przw.3UKD.ETOH1,-0.2822217,-0.249441382,add_Mammal_animal
S_ERR965881,-0.290469772,-0.251459469,add_Mammal_animal
S_455.PM25x22609,-0.325114507,-0.009741095,add_Mammal_animal
S_456.PM10x10708,-0.334020788,0.007185456,add_Mammal_animal
S_456.PM1x10808,-0.331989347,0.013879,add_Mammal_animal
S_ERR179540,-0.077973262,0.163736129,add_Mammal_animal
S_ERR179600,-0.063940931,0.156193222,add_Mammal_animal
S_ERR179681,-0.067569636,0.156065303,add_Mammal_animal
S_ERR179511,-0.08411011,0.161390294,add_Mammal_animal
S_ERR179739,-0.096907768,0.16749382,add_Mammal_animal
S_ERR179612,-0.015262656,0.151426184,add_Mammal_animal
S_ERR488350,-0.022264217,0.153988462,add_Mammal_animal
S_10376.Kroo3,-0.232227203,-0.053825891,add_Mammal_animal
S_1736.R50b.0311,-0.249026815,0.031563697,add_Mammal_animal
S_10376.Kroo1,-0.243278595,-0.060415024,add_Mammal_animal
