,PC1,PC2,Type
S_2202.Stool270,-0.349074319,-0.064386392,Gut
S_2202.Stool65,-0.261862186,-0.049348081,Gut
S_2202.Stool181,-0.205843321,-0.061572839,Gut
S_2202.Stool191,-0.24654149,-0.050427045,Gut
S_2202.Stool143,-0.215770598,-0.070591435,Gut
S_2202.Stool113,-0.345677372,-0.024464712,Gut
S_2202.Stool99,-0.339482012,-0.035912413,Gut
S_2202.Stool35,-0.271685434,-0.039334821,Gut
S_2202.Stool93,-0.191561986,-0.067929799,Gut
S_2202.Stool134,-0.224283265,-0.07630738,Gut
S_2202.Stool118,-0.289074673,-0.036106138,Gut
S_2202.Stool247,-0.17408957,-0.045560131,Gut
S_2202.Stool148,-0.342304501,-0.059598059,Gut
S_2202.Stool168,-0.305483977,-0.037229387,Gut
S_2202.Stool272,-0.327531588,-0.059704781,Gut
S_2202.Stool173,-0.275489972,-0.052889881,Gut
S_2202.Stool3,-0.270622132,-0.052775428,Gut
S_2202.Stool72,-0.221930573,-0.060420281,Gut
S_2202.Stool103,-0.113947424,0.056059096,Gut
S_2202.Stool94,-0.277460463,-0.035081156,Gut
S_2202.Stool169,-0.260232112,-0.051193497,Gut
S_2202.Stool10,-0.250098077,-0.028274517,Gut
S_2202.Stool49,-0.181570035,-0.065503548,Gut
S_2202.Stool18,-0.299264731,-0.038323862,Gut
S_2202.Stool151,-0.335028075,-0.053096782,Gut
S_2202.Stool189,-0.297436469,-0.048383639,Gut
S_2202.Stool236,-0.155108899,-0.101573952,Gut
S_2202.Stool232,-0.216800379,-0.078367933,Gut
S_2202.Stool176,-0.270636031,-0.053134943,Gut
S_2202.Stool182,-0.178722587,-0.059348407,Gut
S_2202.Stool133,-0.31056588,-0.050866156,Gut
S_2202.Stool125,-0.280886765,-0.043155625,Gut
S_2202.Stool154,-0.256513956,-0.042449832,Gut
S_2202.Stool209,-0.259999777,-0.048902268,Gut
S_2202.Stool25,-0.258382088,-0.063141727,Gut
S_2202.Stool207,-0.158453884,-0.099523732,Gut
S_2202.Stool244,-0.249506882,-0.046944182,Gut
S_2202.Stool223,-0.195079744,-0.096344507,Gut
S_2202.Stool84,-0.217344334,-0.038225766,Gut
S_2202.Stool61,-0.268283088,-0.042806993,Gut
S_2202.Stool227,-0.20812675,-0.088611363,Gut
S_2202.Stool146,-0.344045907,-0.061025547,Gut
S_2202.Stool141,-0.319548048,-0.044478641,Gut
S_2202.Stool179,-0.247104308,-0.053624037,Gut
S_2202.Stool197,-0.266815145,-0.057554608,Gut
S_2202.Stool178,-0.245680146,-0.04885513,Gut
S_2202.Stool7,-0.337825487,-0.042284355,Gut
S_2202.Stool105,-0.259132954,-0.003620598,Gut
S_2202.Stool229,-0.229923571,-0.072454182,Gut
S_2202.Stool127,-0.313657903,-0.042969753,Gut
S_2202.Stool204,-0.205638312,-0.084749603,Gut
S_2202.Stool206,-0.245994924,-0.056141382,Gut
S_2202.Stool162,-0.278285708,-0.036427123,Gut
S_2202.Stool24,-0.240493072,-0.060992048,Gut
S_2202.Stool220,-0.218925606,-0.085231159,Gut
S_2202.Stool170,-0.225009809,-0.040436362,Gut
S_2202.Stool140,-0.340719335,-0.057396682,Gut
S_2202.Stool60,-0.216869934,-0.03673711,Gut
S_2202.Stool271,-0.358096587,-0.045352052,Gut
S_2202.Stool224,-0.196685915,-0.0893883,Gut
S_2202.Stool116,-0.311182944,-0.03801104,Gut
S_2202.Stool100,-0.302271971,-0.034394538,Gut
S_2202.Stool367,-0.247450797,-0.034821016,Gut
S_2202.Stool418,-0.343117808,-0.049890135,Gut
S_2202.Stool438,-0.324557433,-0.054493813,Gut
S_2202.Stool510,-0.336537739,-0.036590764,Gut
S_2202.Stool531,-0.345278302,-0.04579636,Gut
S_2202.Stool499,-0.165209837,-0.084805628,Gut
S_2202.Stool357,-0.297940639,-0.041900933,Gut
S_2202.Stool371,-0.280420492,-0.055634051,Gut
S_2202.Stool320,-0.255205485,-0.049667707,Gut
S_2202.Stool490,-0.343890629,-0.028975331,Gut
S_2202.Stool374,-0.213442985,-0.064263946,Gut
S_2202.Stool498,-0.164251961,-0.043093992,Gut
S_2202.Stool360,-0.302628672,-0.02110084,Gut
S_2202.Stool335,-0.201848849,-0.076583631,Gut
S_2202.Stool494,-0.344420687,-0.038671186,Gut
S_2202.Stool407,-0.337955193,-0.050384468,Gut
S_2202.Stool544,-0.353743785,-0.0438885,Gut
S_2202.Stool359,-0.223925567,-0.048776363,Gut
S_2202.Stool526,-0.306096411,-0.052351846,Gut
S_2202.Stool382,0.238331559,-0.006371404,Gut
S_2202.Stool513,-0.33177183,-0.047132727,Gut
S_2202.Stool338,-0.19732178,-0.067837964,Gut
S_2202.Stool525,-0.340555659,-0.057254162,Gut
S_2202.Stool309,-0.184927903,-0.068435741,Gut
S_2202.Stool339,-0.329284337,-0.045242673,Gut
S_2202.Stool386,-0.34176882,-0.030637787,Gut
S_2202.Stool408,-0.346136139,-0.045172506,Gut
S_2202.Stool495,-0.344552767,-0.03546856,Gut
S_2202.Stool522,-0.343628581,-0.044046635,Gut
S_2202.Stool396,-0.316830754,-0.050178384,Gut
S_2202.Stool401,-0.319361791,-0.055272049,Gut
S_2202.Stool538,-0.347343157,-0.041417055,Gut
S_2202.Stool295,-0.234372874,-0.071130886,Gut
